Age,Gender,Income,Education,Marital Status,Number of Children,Home Ownership,Credit Score
56,Female,25895,Bachelor,Divorced,4,Mortgage,High
69,Female,39738,Doctorate,Single,4,Mortgage,Average
46,Male,50746,Master,Married,1,Rented,High
32,Male,69377,High School,Married,2,Owned,Average
60,Female,68404,Bachelor,Single,2,Rented,Low
25,Male,74045,High School,Single,3,Mortgage,Low
38,Male,117888,High School,Married,1,Rented,Average
56,Male,149307,Bachelor,Divorced,1,Rented,Average
36,Female,59790,Doctorate,Married,1,Owned,Low
40,Female,127455,High School,Single,1,Owned,High
28,Female,25600,Master,Married,2,Mortgage,Average
28,Male,114660,High School,Single,2,Rented,Average
41,Male,113179,Bachelor,Married,1,Rented,Average
53,Female,60764,Bachelor,Divorced,3,Rented,Average
57,Female,94543,Bachelor,Married,0,Mortgage,Average
41,Female,65714,Doctorate,Married,0,Mortgage,Low
20,Female,76835,High School,Single,3,Owned,Low
39,Male,122946,Doctorate,Single,1,Owned,High
19,Female,148191,Doctorate,Single,2,Owned,High
41,Male,129616,Bachelor,Married,0,Rented,Average
61,Female,125983,Bachelor,Divorced,4,Rented,Average
47,Male,93744,Doctorate,Single,4,Owned,Average
55,Female,76491,High School,Single,3,Rented,Average
19,Female,144123,Master,Married,1,Owned,Low
38,Female,38589,Doctorate,Single,0,Mortgage,Low
50,Female,63484,High School,Divorced,1,Owned,High
29,Male,102989,Bachelor,Divorced,0,Mortgage,Average
39,Female,56212,Bachelor,Single,3,Rented,Low
61,Male,63525,High School,Single,3,Owned,Average
42,Male,67202,Master,Married,4,Rented,Average
66,Male,52635,Bachelor,Divorced,1,Mortgage,Average
44,Male,83208,Bachelor,Divorced,4,Mortgage,Low
59,Female,53828,Bachelor,Single,1,Mortgage,Low
45,Male,38711,High School,Married,4,Rented,High
33,Male,23420,Doctorate,Divorced,2,Rented,Low
32,Male,116752,Bachelor,Divorced,2,Rented,Average
64,Female,20301,Doctorate,Married,2,Rented,Average
68,Female,65236,Master,Married,2,Mortgage,Low
61,Female,135294,Bachelor,Divorced,0,Mortgage,Average
69,Female,137858,Bachelor,Divorced,2,Owned,High
20,Male,86235,Master,Married,3,Owned,High
54,Male,74240,Bachelor,Divorced,3,Rented,High
68,Female,144019,Doctorate,Single,0,Mortgage,Average
24,Male,85726,High School,Single,2,Mortgage,Average
38,Male,30492,Doctorate,Married,2,Mortgage,Average
26,Male,135668,High School,Married,2,Owned,Average
56,Female,121279,High School,Married,4,Owned,High
35,Female,26102,Doctorate,Single,1,Mortgage,Low
21,Male,70336,Doctorate,Divorced,4,Mortgage,Low
42,Female,138015,Doctorate,Single,1,Mortgage,Average
31,Female,105314,Doctorate,Divorced,2,Owned,Low
67,Female,143007,Master,Single,2,Mortgage,Low
26,Female,46641,Bachelor,Divorced,4,Mortgage,Average
43,Female,54584,High School,Single,4,Rented,Average
19,Male,52745,Doctorate,Married,1,Rented,High
37,Female,140542,Doctorate,Single,3,Owned,High
45,Male,43093,Doctorate,Divorced,1,Mortgage,Average
64,Male,86105,Master,Single,4,Mortgage,Average
